parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25620229579507,0.340248197293645,0.448797154874898,0.57122267435926,0.658864249570118
r_site:id[SAA_D244087,Intercept],0.95,0.8,median,-0.301823594735845,-0.114212827430012,0.176392583428873,0.607146795046883,0.875352398172074
r_site:id[SAA_D244123,Intercept],0.95,0.8,median,-0.582820365607285,-0.382352003466176,-0.0430045804353428,0.248949377478464,0.469167128040572
r_site:id[TEE_D154259,Intercept],0.95,0.8,median,-0.335358047523826,-0.164961979841654,0.102830473115237,0.449292191532481,0.645243326395186
r_site:id[TEE_D154299,Intercept],0.95,0.8,median,-0.469366749922015,-0.275443331218119,0.0132018462212296,0.320030842235254,0.498274566163635
r_site:id[TEE_D211445,Intercept],0.95,0.8,median,-0.295066377047137,-0.166809438848726,0.0910740098623185,0.420284883458281,0.584161679814818
r_site:id[TEE_D211451,Intercept],0.95,0.8,median,-0.673303853225004,-0.433539909844243,-0.0835088787445726,0.208517672759825,0.365329928390208
r_site:id[TEE_D217810,Intercept],0.95,0.8,median,-0.546216528707797,-0.356026365903107,-0.0256097501532779,0.288619881601548,0.463468811921118
r_site:id[TEE_D217831,Intercept],0.95,0.8,median,-0.456252229552905,-0.27853162580144,0.00254479229964858,0.289845610892899,0.486066012106383
r_site:id[TEE_D217835,Intercept],0.95,0.8,median,-0.260029787318711,-0.0996095066592693,0.152773630669388,0.470988621144044,0.688885863845617
r_site:id[TEE_D217864,Intercept],0.95,0.8,median,-0.837093055008883,-0.587279582532279,-0.194279524606541,0.103897311898202,0.261258838972806
