X,loc,file,id_k,E,L,run,rawid,id
153,/vol/cluster-data/rchen/wgr/data/processed/D244042k_E100041398_L01_ANIscleR181579-692.sorted.bam,D244042k_E100041398_L01_ANIscleR181579-692.sorted.bam,D244042k,E100041398,L01,ANIscleR181579-692.sorted.bam,D244042,D244042
154,/vol/cluster-data/rchen/wgr/data/processed/D244045k_E100041398_L01_ANIscleR181580-693.sorted.bam,D244045k_E100041398_L01_ANIscleR181580-693.sorted.bam,D244045k,E100041398,L01,ANIscleR181580-693.sorted.bam,D244045,D244045
155,/vol/cluster-data/rchen/wgr/data/processed/D244054k_E100041398_L01_ANIscleR181581-695.sorted.bam,D244054k_E100041398_L01_ANIscleR181581-695.sorted.bam,D244054k,E100041398,L01,ANIscleR181581-695.sorted.bam,D244054,D244054
156,/vol/cluster-data/rchen/wgr/data/processed/D244055k_E100041398_L01_ANIscleR181582-703.sorted.bam,D244055k_E100041398_L01_ANIscleR181582-703.sorted.bam,D244055k,E100041398,L01,ANIscleR181582-703.sorted.bam,D244055,D244055
157,/vol/cluster-data/rchen/wgr/data/processed/D244073k_E100041398_L01_ANIscleR181583-706.sorted.bam,D244073k_E100041398_L01_ANIscleR181583-706.sorted.bam,D244073k,E100041398,L01,ANIscleR181583-706.sorted.bam,D244073,D244073
158,/vol/cluster-data/rchen/wgr/data/processed/D244077k_E100041398_L01_ANIscleR181584-707.sorted.bam,D244077k_E100041398_L01_ANIscleR181584-707.sorted.bam,D244077k,E100041398,L01,ANIscleR181584-707.sorted.bam,D244077,D244077
159,/vol/cluster-data/rchen/wgr/data/processed/D244083k_E100041398_L01_ANIscleR181585-708.sorted.bam,D244083k_E100041398_L01_ANIscleR181585-708.sorted.bam,D244083k,E100041398,L01,ANIscleR181585-708.sorted.bam,D244083,D244083
160,/vol/cluster-data/rchen/wgr/data/processed/D244086k_E100041398_L01_ANIscleR181586-709.sorted.bam,D244086k_E100041398_L01_ANIscleR181586-709.sorted.bam,D244086k,E100041398,L01,ANIscleR181586-709.sorted.bam,D244086,D244086
161,/vol/cluster-data/rchen/wgr/data/processed/D244087k_E100041398_L01_ANIscleR181587-710.sorted.bam,D244087k_E100041398_L01_ANIscleR181587-710.sorted.bam,D244087k,E100041398,L01,ANIscleR181587-710.sorted.bam,D244087,D244087
162,/vol/cluster-data/rchen/wgr/data/processed/D244090k_E100041398_L01_ANIscleR181588-713.sorted.bam,D244090k_E100041398_L01_ANIscleR181588-713.sorted.bam,D244090k,E100041398,L01,ANIscleR181588-713.sorted.bam,D244090,D244090
